chrom	start	end	pas	score	strand	polyAsite_exon_idx	nr_polyAsites_on_exon	exon	gene	CF1m25_KD_2	CF1m25_KD_3	CF1m25_OE_1	CF1m25_OE_2	CF1m25_OE_3	CF1m68_KD_1	CF1m68_KD_2	CF1m68_KD_3	CF1m68_OE_1	CF1m68_OE_2	CF1m68_OE_3	WT1_OE	WT2_OE	WT3_OE
10	102163844	102163875	10:+:102163870:+	10	+	2	2	ENST00000370007:13:13:102162111:102163870	ENST00000370007	529.086409	516.292723	738.5790450000001	707.001787	708.90091	263.626216	253.469725	261.452535	671.987404	634.224719	626.0086309999999	626.030061	592.916878	593.072604
10	102739141	102739198	10:+:102739171:+	9	+	1	2	ENST00000369893:12:12:102737663:102743492	ENST00000369893	85.867868	82.650494	118.49371699999999	102.141486	115.808471	105.61464299999999	112.328833	105.234678	91.564148	91.52669300000001	95.942775	90.419791	100.079299	93.635839
10	102743471	102743491	10:+:102743490:+	8	+	2	2	ENST00000369893:12:12:102737663:102743492	ENST00000369893	4.579432	4.864561	9.324791000000001	9.226035000000001	10.242472	2.939286	2.864835	3.6255879999999996	10.178102	12.075356	11.213080999999999	8.035262	9.174833	8.759647
10	110286609	110286639	10:+:110286634:+	9	+	1	2	ENST00000332674:6:6:110284824:110287365	ENST00000332674	96.914866	86.385951	118.73213500000001	118.68283899999999	112.15316499999999	86.51483	84.444435	84.51325200000001	116.980324	110.687875	106.048151	105.696026	106.92002600000001	99.931836
10	110287336	110287373	10:+:110287360:+	9	+	2	2	ENST00000332674:6:6:110284824:110287365	ENST00000332674	4.551251000000001	4.87397	8.821464	9.535389	10.984956	2.917103	3.260456	1.9186509999999999	12.814716	14.466172	10.396878	5.966412999999999	9.067105	7.989756
10	110838258	110838259	10:+:110838259:+	1	+	1	2	ENST00000369519:14:14:110835868:110839469	ENST00000369519	24.334395999999998	27.775986	14.119639999999999	14.466859	15.116213	31.533546	32.017946	28.382796999999997	6.66908	16.337246	12.009851	7.795128	21.006957	11.514146
10	110839439	110839471	10:+:110839468:+	9	+	2	2	ENST00000369519:14:14:110835868:110839469	ENST00000369519	21.488103	17.73636	40.862186	32.081853	38.970893	21.528883	21.58176	21.078692999999998	37.455417	34.060472999999995	39.760769	37.109982	33.000673	32.694699
10	112815415	112815454	10:+:112815437:+	7	+	1	2	ENST00000393077:8:8:112815290:112818744	ENST00000393077	25.912538	54.19704599999999	23.841794	26.422490000000003	32.421803000000004	96.641502	89.000887	70.368165	10.139329	17.290108	25.671543	28.890001	27.291090000000004	24.345660000000002
10	112818723	112818746	10:+:112818742:+	9	+	2	2	ENST00000393077:8:8:112815290:112818744	ENST00000393077	28.350205	28.669860999999997	27.1664	26.713646999999998	24.463897	35.681822	35.769517	36.374969	34.857578000000004	34.857412	34.202812	36.555826	36.932744	35.329437
10	113908862	113908885	10:+:113908885:+	5	+	1	2	ENST00000369301:11:11:113908280:113917194	ENST00000369301	58.560364	54.97801	47.484907	44.547009	49.327593	59.684141000000004	63.899471999999996	68.978798	51.530279	56.929153	49.846712	64.91014200000001	67.276127	31.462874
10	113917164	113917199	10:+:113917190:+	9	+	2	2	ENST00000369301:11:11:113908280:113917194	ENST00000369301	26.011172	22.281008	54.53148100000001	44.801771	49.003946	13.975473000000001	12.414287	11.220798	61.999184	59.25066999999999	55.599003	48.285462	50.201240999999996	46.056583
10	117548782	117548809	10:+:117548809:+	4	+	1	2	ENST00000553456:3:3:117548065:117549546	ENST00000553456	6.481657	8.195421000000001	3.735214	0.0	5.254502	12.289543	16.71154	10.585659	5.3895480000000004	2.3215169999999996	4.469686	3.8606199999999995	3.393432	3.5243889999999998
10	117549519	117549556	10:+:117549545:+	8	+	2	2	ENST00000553456:3:3:117548065:117549546	ENST00000553456	12.653322	9.719713	16.927674	19.234554	15.611203	11.524219	11.636689	11.538368	15.160526	18.087047000000002	13.020389	16.403018	14.076457000000001	15.911078
10	119940943	119940977	10:+:119940968:+	8	+	1	2	ENST00000369075:19:19:119940586:119944658	ENST00000369075	118.473422	107.744856	123.24883	110.494051	107.90768	143.437152	152.45017099999998	130.587331	95.22826500000001	115.83332800000001	122.333354	127.36352600000001	142.07525800000002	132.575209
10	119942111	119942152	10:+:119942145:+	9	+	2	2	ENST00000369075:19:19:119940586:119944658	ENST00000369075	60.96985	60.247167000000005	90.241191	77.84808100000001	77.846595	37.744868	36.506189	34.959137	97.205725	88.581485	81.77581500000001	95.05623	89.180817	97.39975
10	122430266	122430310	10:+:122430286:+	4	+	1	3	ENST00000368990:12:12:122429624:122442602	ENST00000368990	32.25329	43.649322	19.484044	36.649377	33.107172999999996	74.025638	81.606883	84.870518	20.763329000000002	25.831213	41.742978	39.104943	60.956084999999995	34.627981
10	122432315	122432362	10:+:122432344:+	9	+	2	3	ENST00000368990:12:12:122429624:122442602	ENST00000368990	70.311891	69.03536899999999	69.445848	59.559787	54.886704	43.55689	36.492546999999995	36.705771	77.314805	73.803466	70.251799	70.968915	65.426797	75.380871
10	122442588	122442616	10:+:122442599:+	3	+	3	3	ENST00000368990:12:12:122429624:122442602	ENST00000368990	1.127245	1.439609	0.940426	0.8734709999999999	0.837674	1.2311729999999999	1.105008	1.045334	1.0662770000000001	1.403305	1.690707	1.311503	1.274781	1.129173
10	125841366	125841391	10:+:125841391:+	9	+	1	2	ENST00000299130:7:7:125841255:125842805	ENST00000299130	360.760588	369.763107	427.880732	393.26201000000003	403.264021	289.07045	262.350715	248.27338999999998	467.804975	424.993624	433.54007800000005	472.17787599999997	449.836158	451.566661
10	125842790	125842824	10:+:125842815:+	10	+	2	2	ENST00000299130:7:7:125841255:125842805	ENST00000299130	94.294022	105.853605	53.471846	51.170828	41.598144	74.158738	76.31375899999999	74.721517	64.98476099999999	69.420303	66.909251	79.022649	74.098899	77.05752199999999
10	130180352	130180401	10:+:130180376:+	10	+	1	2	ENST00000368644:12:12:130180113:130182881	ENST00000368644	108.20140400000001	115.55449899999999	77.088468	84.926834	68.860635	71.47456	88.809898	66.808738	101.87795899999999	116.43969399999999	83.485955	74.515513	83.094186	82.737606
10	130182846	130182882	10:+:130182869:+	9	+	2	2	ENST00000368644:12:12:130180113:130182881	ENST00000368644	3.395825	2.681625	9.576454	7.588277000000001	8.510009	2.29597	2.319152	1.984811	10.25565	11.451665	11.679483	8.884967999999999	9.013241	9.324233999999999
10	131956213	131956260	10:+:131956241:+	9	+	1	3	ENST00000455566:9:9:131955684:131959834	ENST00000455566	66.225628	63.841485	35.683219	25.312455	35.582119	42.824841	67.119001	46.788610999999996	52.67410400000001	66.145924	35.912953	33.323249	43.611878999999995	30.385027
10	131956522	131956562	10:+:131956547:+	10	+	2	3	ENST00000455566:9:9:131955684:131959834	ENST00000455566	46.498845	54.300546999999995	64.690735	74.936512	63.377676	69.18968100000001	49.889063	58.89595799999999	81.831944	63.339313	71.57327099999999	78.653212	81.819405	89.119146
10	131959808	131959846	10:+:131959833:+	9	+	3	3	ENST00000455566:9:9:131955684:131959834	ENST00000455566	2.663116	3.09563	3.4438150000000003	3.4574879999999997	3.3316589999999997	5.845297	7.312150999999999	7.502586	3.799825	5.284051	5.985492	5.153651	5.386399	4.910193
10	13209813	13209857	10:+:13209839:+	9	+	1	2	ENST00000378694:18:18:13209091:13211104	ENST00000378694	73.848621	89.886176	39.219751	55.883931000000004	71.37365799999999	118.00401000000001	123.610828	123.746349	35.032059000000004	32.951689	34.280546	52.016779	67.563402	48.605777
10	13211092	13211126	10:+:13211109:+	9	+	2	2	ENST00000378694:18:18:13209091:13211104	ENST00000378694	49.119689	39.932684	97.671883	86.764762	83.08206	20.796834	17.380001999999998	17.109071	72.584411	69.73214899999999	71.806472	67.588563	60.16608000000001	67.271354
10	17715359	17715388	10:+:17715371:+	7	+	1	2	ENST00000377524:14:14:17714543:17715914	ENST00000377524	0.0	15.958019	0.0	11.063963000000001	22.141254999999997	32.354328	34.978276	27.152214	0.48467200000000005	9.28607	10.630078999999999	0.0	14.112366	13.139470999999999
10	17715873	17715940	10:+:17715916:+	9	+	2	2	ENST00000377524:14:14:17714543:17715914	ENST00000377524	58.504002	45.653484000000006	71.353192	62.908092	39.047045000000004	27.074704999999998	27.529704	30.777802	69.579447	62.403776	57.445178000000006	70.266984	56.3956	56.304686
10	21743315	21743332	10:+:21743318:+	5	+	1	2	ENST00000377072:24:24:21741939:21743630	ENST00000377072	52.769144	43.178861	68.33323100000001	66.984289	62.844609999999996	47.461149	55.79608	44.922889	62.386920999999994	55.73374499999999	58.397415	63.949605000000005	74.781177	64.123356
10	21743613	21743684	10:+:21743673:+	9	+	2	2	ENST00000377072:24:24:21741939:21743630	ENST00000377072	20.92448	26.835065000000004	29.987678999999996	22.946804999999998	29.870703999999996	22.460581	14.965354999999999	19.027721	12.446365	25.467392999999998	17.859309	21.833747	15.189646	17.912794
10	23120941	23120988	10:+:23120970:+	10	+	1	2	ENST00000376510:5:5:23120758:23122013	ENST00000376510	108.21549499999999	105.32668899999999	111.63257800000001	120.88471299999999	128.4307	120.666005	136.570797	118.929874	123.106572	119.939295	93.98	99.544894	109.397769	88.28081999999999
10	23121915	23121916	10:+:23121916:+	1	+	2	2	ENST00000376510:5:5:23120758:23122013	ENST00000376510	2.76175	2.935673	6.15913	3.839632	6.358708999999999	2.9725610000000002	3.0558240000000003	3.824069	6.494599	6.219588	7.0154630000000004	5.54156	7.217775	4.602237000000001
10	24545245	24545283	10:+:24545271:+	7	+	1	2	ENST00000396445:13:13:24544981:24547843	ENST00000396445	20.572216	15.337010999999999	4.94055	7.060555	3.9789529999999997	26.919421999999997	27.829829999999998	23.076736	7.192525999999999	7.605567999999999	1.612974	5.781695	25.423804999999998	6.484192
10	24547824	24547855	10:+:24547842:+	9	+	2	2	ENST00000396445:13:13:24544981:24547843	ENST00000396445	9.440675	9.089296000000001	20.649642999999998	18.379279999999998	19.038052	6.710445	5.579608	5.888273000000001	12.097402	12.906944000000001	12.767754	15.017628	14.579187	14.85034
10	25025498	25025534	10:+:25025517:+	9	+	1	2	ENST00000376356:3:3:25023176:25026664	ENST00000376356	24.559845000000003	22.290417	46.279571000000004	40.780165999999994	43.768482	20.830109	17.584633	17.757442	20.104176000000002	19.039907999999997	18.247978	20.57766	22.999925	16.458556
10	25026637	25026685	10:+:25026662:+	8	+	2	2	ENST00000376356:3:3:25023176:25026664	ENST00000376356	1.437237	1.035013	13.391141000000001	13.939136999999999	14.164310999999998	1.042615	1.609765	0.952709	8.433285	6.912578	6.665661999999999	6.779175	5.206853	5.7314099999999994
10	31527291	31527319	10:+:31527319:+	6	+	1	2	ENST00000361642:9:9:31526672:31529813	ENST00000361642	20.501764	19.787567000000003	17.974064000000002	19.380132	14.925832999999999	17.158775	17.939327	21.76676	14.986044	15.748204000000001	17.412341	14.075563	23.592429	13.344775
10	31529773	31529813	10:+:31529804:+	6	+	2	2	ENST00000361642:9:9:31526672:31529813	ENST00000361642	10.384742	6.727585	21.76226	16.941693	17.705389	7.120836	6.561837	6.788053999999999	13.260613000000001	13.513310999999998	12.806621	13.078082	14.148275	12.76308
10	38054467	38054532	10:+:38054498:+	7	+	1	2	ENST00000374618:5:5:38054375:38060063	ENST00000374618	189.22212	200.227974	88.307356	76.392296	74.629164	277.402039	276.72946	276.1666	56.047417	72.625383	62.264665	79.872355	75.122315	68.537397
10	38060040	38060079	10:+:38060053:+	9	+	2	2	ENST00000374618:5:5:38054375:38060063	ENST00000374618	27.335684999999998	24.595673	88.87691	79.977166	90.316519	15.295378	14.501524	14.674369	88.675506	93.137896	94.388102	68.068832	74.242537	58.015555000000006
10	45792585	45792605	10:+:45792601:+	3	+	1	2	ENST00000359860:29:29:45792261:45792961	ENST00000359860	23.615776999999998	21.876412	12.596414999999999	29.370454	39.637225	25.987724	37.856753999999995	37.155662	16.478832999999998	14.483497	53.403027	27.227533	43.863245	20.017163
10	45792959	45792971	10:+:45792963:+	8	+	2	2	ENST00000359860:29:29:45792261:45792961	ENST00000359860	52.966412	52.653935	79.220984	71.86116700000001	57.704336	54.005219	49.261527	49.779059000000004	68.222367	71.915068	59.932655000000004	74.644816	70.777287	92.900166
10	58287816	58287863	10:+:58287858:+	6	+	1	2	ENST00000333926:3:3:58287561:58289586	ENST00000333926	375.442951	418.41812799999997	310.102269	302.83959	343.218004	417.966455	390.477069	392.251578	372.03387799999996	326.831548	322.070004	353.126691	378.89727999999997	376.048921
10	58289566	58289589	10:+:58289583:+	7	+	2	2	ENST00000333926:3:3:58287561:58289586	ENST00000333926	15.231895000000002	11.855604	40.133687	33.901584	33.773505	6.466429	5.85245	6.840982	41.39095	39.240575	36.845757	30.977321999999997	28.242687	28.468853999999997
10	6115727	6115774	10:+:6115751:+	9	+	1	3	ENST00000446108:12:12:6115453:6117457	ENST00000446108	602.1459580000001	567.5164589999999	511.009121	423.46954000000005	394.96342999999996	617.017114	617.2628980000001	556.964426	419.977587	393.185369	452.06012400000003	460.189634	475.92428499999994	534.372702
10	6116819	6116838	10:+:6116831:+	9	+	2	3	ENST00000446108:12:12:6115453:6117457	ENST00000446108	16.401411	12.787115	114.665784	108.474149	100.76841	7.187386	5.320409	7.912780000000001	142.609755	152.44054	144.487448	86.245149	98.624971	97.416859
10	6117426	6117457	10:+:6117443:+	5	+	3	3	ENST00000446108:12:12:6115453:6117457	ENST00000446108	0.0	0.20700300000000002	4.265032	3.51208	2.570137	0.177466	0.641177	0.608675	6.591533	4.348514	2.876146	1.5516370000000002	2.495698	4.003433
10	68791382	68791445	10:+:68791412:+	9	+	1	2	ENST00000265872:25:25:68791207:68792377	ENST00000265872	203.664943	189.040424	341.030374	264.66163900000004	311.957523	239.213506	239.200116	214.280194	293.109964	354.429887	322.84734100000003	329.297981	351.480508	324.56888399999997
10	68792343	68792379	10:+:68792375:+	8	+	2	2	ENST00000265872:25:25:68791207:68792377	ENST00000265872	20.994933	19.778157999999998	37.206444	29.024704999999997	36.343641999999996	14.452413	15.592889999999999	13.615803	35.885081	35.429128999999996	35.543718	31.439118	32.551806	35.962458000000005
10	70423832	70423873	10:+:70423849:+	9	+	1	2	ENST00000373218:3:3:70421716:70428618	ENST00000373218	209.568888	224.183821	122.401122	122.704444	119.368587	242.851565	248.422158	254.095502	193.597202	179.60576	182.071675	192.569218	188.57783899999998	166.775472
10	70428587	70428637	10:+:70428616:+	9	+	2	2	ENST00000373218:3:3:70421716:70428618	ENST00000373218	119.64293799999999	121.585803	90.863726	78.46679	82.510918	139.344335	143.801096	143.27688899999998	102.149375	99.218886	97.536315	107.94959399999999	108.64367299999999	97.998554
10	74120126	74120208	10:+:74120190:+	9	+	1	2	ENST00000372755:21:21:74118023:74121363	ENST00000372755	218.657298	220.65536699999998	254.590625	257.164348	242.240176	223.61865299999997	230.551042	224.34980099999999	317.731278	339.40932200000003	349.451687	249.14854900000003	272.587713	262.789419
10	74121339	74121375	10:+:74121362:+	7	+	2	2	ENST00000372755:21:21:74118023:74121363	ENST00000372755	0.676347	1.053831	2.106025	2.620412	1.8847669999999999	0.720957	0.313768	0.674836	2.268263	3.516926	2.662378	1.7363560000000002	2.1904689999999998	1.625325
10	74708529	74708569	10:+:74708569:+	9	+	1	2	ENST00000541550:10:10:74708321:74709299	ENST00000541550	286.756971	311.491874	274.10116	284.38752	326.788165	321.114212	329.18323300000003	313.269333	245.864181	216.73271499999998	241.80999599999998	314.723678	299.591528	269.205176
10	74709265	74709308	10:+:74709289:+	10	+	2	2	ENST00000541550:10:10:74708321:74709299	ENST00000541550	15.767335999999998	10.622997	41.868840000000006	33.173691	32.84064	18.733788	18.539578	17.175231	39.316556	34.684164	23.961402	29.296382	26.788359000000003	31.839265
10	79354640	79354684	10:+:79354669:+	7	+	1	2	ENST00000225174:6:6:79353707:79355337	ENST00000225174	551.673575	583.672071	490.995259	504.793307	519.09153	496.916783	507.075871	524.5855429999999	514.158962	521.319275	542.328341	512.4650190000001	507.057673	521.7636
10	79355318	79355350	10:+:79355350:+	10	+	2	2	ENST00000225174:6:6:79353707:79355337	ENST00000225174	250.99513199999998	296.653551	257.17348599999997	261.731872	244.06782900000002	231.493721	251.60076099999998	241.98815499999998	278.06575899999996	276.191282	255.78262200000003	285.020915	270.702473	290.41994700000004
10	84217341	84217371	10:+:84217363:+	8	+	1	2	ENST00000623527:17:17:84214082:84218696	ENST00000623527	20.868118	20.220391	24.119948	28.424194	27.281529	15.816685999999999	15.852089000000001	15.653542999999999	17.467562	21.4134	20.366220000000002	19.136854999999997	23.628338	20.119815
10	84218677	84218700	10:+:84218693:+	7	+	2	2	ENST00000623527:17:17:84214082:84218696	ENST00000623527	3.381734	3.20854	6.371057	4.767695	6.320633	2.617628	2.005385	2.368541	4.381431	5.613221	5.40249	4.581023	6.068677	4.773323
10	87553061	87553086	10:+:87553079:+	2	+	1	2	ENST00000536010:5:5:87552082:87553460	ENST00000536010	81.992964	86.047219	74.58507900000001	72.734638	81.444787	91.395154	103.420559	96.541206	104.16560799999999	103.446126	123.73256	99.120041	115.68190200000001	89.016494
10	87553434	87553467	10:+:87553460:+	9	+	2	2	ENST00000536010:5:5:87552082:87553460	ENST00000536010	99.747069	83.807827	81.115082	77.138386	59.779484	112.602379	97.745456	96.991097	87.95819200000001	92.514204	88.40261	82.366057	74.242537	86.039582
10	89774190	89774223	10:+:89774213:+	6	+	1	2	ENST00000371728:33:33:89773971:89774939	ENST00000371728	68.804201	68.89423000000001	40.252896	90.16765799999999	72.401712	68.246891	71.075203	103.660062	58.877899	65.383634	87.489239	66.055398	96.685867	53.90947
10	89774907	89774949	10:+:89774933:+	9	+	2	2	ENST00000371728:33:33:89773971:89774939	ENST00000371728	70.63597299999999	54.15	83.883379	63.544996999999995	57.51395600000001	72.483899	63.067306	66.12066999999999	73.14663	70.563737	75.05185300000001	76.584363	65.749981	69.5297
10	91278650	91278693	10:+:91278665:+	6	+	1	3	ENST00000614189:10:10:91278269:91284329	ENST00000614189	39.425385	58.929878	32.000986	33.701413	55.933797	136.71561499999999	132.860153	129.409676	30.689402	37.369502000000004	29.363892	42.633070000000004	65.408842	54.593817
10	91280965	91281001	10:+:91281001:+	9	+	2	3	ENST00000614189:10:10:91278269:91284329	ENST00000614189	75.51130699999999	59.118062	41.339022	36.758561	27.1673	30.923506	26.383770000000002	25.445276999999997	33.810687	36.018171	24.116869	27.707801	21.922645000000003	22.703226
10	91284303	91284348	10:+:91284336:+	8	+	3	3	ENST00000614189:10:10:91278269:91284329	ENST00000614189	27.941578999999997	23.523023000000002	48.385597	40.052274	39.123197	23.248088	21.554476	22.587149	39.006366	36.728486	34.649781	43.039451	36.699334	40.479151
10	91513050	91513088	10:+:91513071:+	8	+	1	2	ENST00000446394:22:22:91512264:91514826	ENST00000446394	23.362147	21.594135	8.847955	13.029272	16.791562	33.574409	28.716565000000003	31.71728	16.536993	13.374713	15.527299	19.543236	21.348095999999998	9.050495
10	91514734	91514781	10:+:91514773:+	9	+	2	2	ENST00000446394:22:22:91512264:91514826	ENST00000446394	22.939429999999998	21.565908	22.384795999999998	16.486760999999998	16.734448	19.576753	19.767364	15.243348000000001	21.267387	22.123715	16.732170999999997	22.314016	20.773547	24.978682
10	92351831	92351875	10:+:92351854:+	9	+	1	2	ENST00000358935:6:6:92351091:92353964	ENST00000358935	133.57850200000001	121.529347	128.36157	114.715826	111.315491	116.47336299999999	116.817075	110.209938	118.531273	116.318421	113.355116	115.042791	119.79352	116.15087
10	92353936	92353988	10:+:92353964:+	9	+	2	2	ENST00000358935:6:6:92351091:92353964	ENST00000358935	20.304496	17.792815	41.670158	35.812301	34.097151000000004	5.05779	5.429545	6.047057	45.442803999999995	42.982723	41.509777	43.168754	42.965512	32.848677
10	92653841	92653866	10:+:92653857:+	9	+	1	2	ENST00000260731:22:22:92653665:92655395	ENST00000260731	300.565719	292.447634	216.78813599999998	190.525808	208.733204	343.885359	351.187897	332.45583999999997	137.02633899999998	189.93131499999998	245.50234500000002	265.64392599999996	252.083486	219.38468199999997
10	92655349	92655400	10:+:92655393:+	10	+	2	2	ENST00000260731:22:22:92653665:92655395	ENST00000260731	90.672749	84.099513	193.01256899999998	172.219317	172.922628	85.01745799999999	79.887982	78.929317	192.80234099999998	179.744358	164.36783300000002	175.926066	183.460759	184.77381
10	102673720	102673759	10:-:102673733:-	9	-	2	2	ENST00000260746:6:6:102673731:102676941	ENST00000260746	1.070883	0.8656469999999999	8.8612	9.535389	9.766521000000001	1.5861049999999999	1.3778489999999999	0.939477	11.069898	11.382366000000001	12.806621	6.317379	7.128002	5.59454
10	102676610	102676679	10:-:102676636:-	10	-	1	2	ENST00000260746:6:6:102673731:102676941	ENST00000260746	187.009902	187.948956	204.681803	216.16581499999998	195.140035	237.56085099999999	221.765546	244.356696	221.94079399999998	198.836241	194.722829	208.732102	205.32953999999998	195.51806499999998
10	104309683	104309728	10:-:104309698:-	9	-	2	2	ENST00000278071:3:3:104309698:104316064	ENST00000278071	1.930407	1.2231969999999999	5.735276	6.205282	5.444883	1.563922	1.500628	1.3496709999999998	5.757898	6.2369129999999995	5.849458	4.008395	5.206853	4.8759760000000005
10	104312125	104312165	10:-:104312126:-	10	-	1	2	ENST00000278071:3:3:104309698:104316064	ENST00000278071	21.431741	23.419522	26.398164	27.350553	33.564085999999996	25.011658999999998	26.902169	27.152214	24.039709	27.858209999999996	27.886952	22.535678	22.640832	22.703226
10	112149858	112149880	10:-:112149866:-	9	-	2	2	ENST00000348367:22:22:112149864:112153666	ENST00000348367	40.144003000000005	36.865282	61.392619999999994	55.119643999999994	55.952835	19.854044000000002	19.235324	20.033359	49.97933	49.791353	46.154363000000004	51.093185	51.763296999999994	47.202865
10	112153242	112153268	10:-:112153243:-	5	-	1	2	ENST00000348367:22:22:112149864:112153666	ENST00000348367	11.399262	15.271147000000001	0.0	0.0	0.0	35.171606	39.330098	38.121603	0.0	0.0	0.0	0.0	0.0	0.0
10	114161601	114161632	10:-:114161610:-	9	-	2	2	ENST00000369285:3:3:114161608:114163329	ENST00000369285	0.7468	0.583371	4.35775	3.548475	2.646289	1.2089889999999999	1.091366	1.2041190000000002	2.229489	3.4476269999999998	3.07048	3.084802	3.339568	2.241238
10	114162635	114162654	10:-:114162654:-	1	-	1	2	ENST00000369285:3:3:114161608:114163329	ENST00000369285	36.565001	35.115169	34.544111	34.411108	37.143240000000006	33.352576	42.413206	43.057165999999995	32.201577	36.797785	34.980149	41.968083	30.864068	28.965006
10	116056922	116056963	10:-:116056939:-	1	-	2	2	ENST00000369236:9:9:116056925:116064544	ENST00000369236	6.55211	6.529991000000001	19.298607999999998	19.143567	18.409796	7.963800999999999	8.021539	7.449657000000001	23.84584	24.722429	23.242366	21.335007	25.046757	21.009467
10	116064369	116064383	10:-:116064370:-	4	-	1	2	ENST00000369236:9:9:116056925:116064544	ENST00000369236	32.985999	34.541207	12.742114	5.386403	2.1513	37.700501	35.619454	22.587149	7.754745	6.964552	8.026000999999999	12.339207	13.376225	14.491057000000001
10	118676407	118676419	10:-:118676412:-	9	-	3	3	ENST00000369151:9:9:118676411:118686168	ENST00000369151	1.366784	1.053831	4.834586	3.803237	4.588171	0.887332	0.7639560000000001	0.793924	5.00181	4.868257	4.8777870000000005	3.4911830000000004	3.519114	2.959803
10	118680975	118681018	10:-:118680988:-	9	-	2	3	ENST00000369151:9:9:118676411:118686168	ENST00000369151	6.777558999999999	8.016646000000001	14.622967000000001	8.079604	13.079142	3.9153510000000002	2.4419310000000003	1.8127939999999998	15.354395000000002	16.805015	17.023672	15.091516	18.259894	17.485077
10	118681493	118681525	10:-:118681504:-	9	-	1	3	ENST00000369151:9:9:118676411:118686168	ENST00000369151	65.098384	62.655925	72.982381	76.883624	67.451819	62.889627000000004	66.164056	64.453429	76.57810400000001	75.657216	71.57327099999999	77.785034	68.263634	68.26365799999999
10	121478316	121478362	10:-:121478334:-	9	-	3	3	ENST00000369061:15:15:121478334:121480021	ENST00000369061	43.046658	40.845378000000004	73.69763499999999	67.639392	70.250412	22.327481	20.340332	20.721427	79.272878	77.96140799999999	78.880236	55.914343	60.632901000000004	57.895793999999995
10	121479372	121479373	10:-:121479373:-	1	-	2	3	ENST00000369061:15:15:121478334:121480021	ENST00000369061	24.489392000000002	28.989774	0.0	0.0	0.0	29.858708	40.39418	36.771931	3.5865690000000003	4.348514	1.574107	4.193114	0.754096	8.896517
10	121479729	121479730	10:-:121479730:-	1	-	1	3	ENST00000369061:15:15:121478334:121480021	ENST00000369061	56.080426	54.611051	44.385473	59.50519499999999	67.908732	45.897227	63.981325	46.682753999999996	48.544702	63.651159	62.90596800000001	44.923582	53.19967	26.518463
